"date" "depth.avg" "depth.SE"
"1" "jan09" 49.55 4.93242494007498
"2" "mar09" 48.55 4.55346889166583
"3" "may09" 49.15 4.75852420731249
"4" "aug09" 50.85 4.71853846685156
"5" "oct09" 49.2 5.06099636539351
"6" "nov09" 44.4 4.86036602476983
"7" "jan10" 46.85 4.76294634598552
"8" "apr10" 53.7 4.75234014377183
"9" "jun10" 50.15 4.57698763265466
"10" "aug10" 51.45 3.97986709643214
"11" "oct10" 50.15 3.62249913733599
"12" "jan11" 52.1 4.08714287028301
"13" "mar11" 48 3.15144077326045
"14" "jul11" 48.05 5.35796259392455
"15" "sep11" 55.65 7.9994325456642
"16" "jan12" 50.9 4.3877221041399
"17" "apr12" 63.25 13.2352947196422
"18" "may12" 45.85 7.71951559701978
"19" "jul12" 43.15 3.58745988424298
"20" "sep12" 39.15 3.20302077815039
"21" "dec12" 39.7 4.11614280351731
"22" "jan13" 42.7 3.78855617547593
"23" "apr13" 41.45 3.55740517497619
"24" "jun13" 40.3 3.68931601134668
"25" "jul13" 41.6 3.54771980143214
"26" "oct13" 39 2.40831891575846
"27" "dec13" 41.2 3.06645689595286
"28" "feb14" 36.95 3.1342547170865
"29" "jun14" 39.5 3.0551940243323
"30" "sep14" 42.65 4.52029051232213
"31" "feb15" 37.7 2.79764938926649
"32" "apr15" 45.1 5.08656641505218
"33" "aug15" 38.25 4.50664713740189
"34" "nov15" 36.55 4.44052806248133
"35" "jan16" 34.7 2.925477918671
"36" "mar16" 36.8 2.93938769133981
"37" "may16" 36.55 4.44052806248133
"38" "oct16" 35.95 3.16932252431934
"39" "nov16" 33.2 3.14860035738522
"40" "jan17" 31.75 2.07348549675737
"41" "apr17" 30.85 1.58325946272738
"42" "jun17" 32.15 3.11555942429538
"43" "aug17" 30.75 1.7089162462924
"44" "sep17" 26.95 1.4188115857257
