num,date,accmonth,rich,cob,sup
1,Jan-09,1,2.136690647,24.47932206,1.519
2,Mar-09,4,2.647482014,23.20054086,1.418
3,May-09,9,2.827338129,16.65505887,1.257
4,Aug-09,17,2.964028777,15.96628742,1.294
5,Oct-09,27,2.964028777,14.93273794,1.474
6,Nov-09,38,2.482014388,13.17171484,3.103
7,Jan-10,39,2.18705036,3.743745756,1.48
8,Apr-10,43,2.71942446,11.89461321,1.648
9,Jun-10,49,2.64028777,12.45859756,1.605
10,Aug-10,57,2.26618705,14.225552,1.564
11,Oct-10,67,2.374100719,15.51971684,1.859
12,Jan-11,68,2.244604317,25.50852593,1.528
13,Mar-11,71,2.532374101,3.091460848,1.962
14,Jul-11,78,2.330935252,12.59366909,1.973
15,Sep-11,87,2.510791367,13.38291283,1.316
16,Jan-12,88,1.625899281,6.357572665,1.294
17,Apr-12,92,1.496402878,10.53157311,1.317
18,May-12,97,1.330935252,8.239632185,1.32
19,Jul-12,104,1.575539568,12.73055724,1.081
20,Sep-12,113,1.597122302,10.47103998,1.383
21,Dec-12,125,1.179856115,8.802957192,1.669
22,Jan-13,126,1.510791367,7.01106945,1.547
23,Apr-13,130,1.172661871,8.15799928,1.138
24,Jun-13,136,1.330935252,6.000032669,1.209
25,Jul-13,143,1.294964029,13.20740657,1.536
26,Oct-13,153,1.352517986,27.59384383,1.677
27,Dec-13,165,1.28057554,17.62230725,1.663
28,Feb-14,167,1.043165468,13.98683734,1.487
29,Jun-14,173,1.510791367,16.33544391,1.964
30,Sep-14,182,1.482014388,15.6448617,1.229
31,Feb-15,184,1.26618705,18.16565562,1.262
32,Apr-15,188,1.352517986,7.624649062,1.443
33,Aug-15,196,1.18705036,10.41349215,1.44
34,Nov-15,207,1.09352518,11.50354645,1.099
35,Jan-16,208,1.086330935,2.347961939,1.737
36,Mar-16,211,0.942446043,3.989627796,1.443
37,May-16,216,1.079136691,11.46168149,1.081
38,Oct-16,226,0.877697842,16.98309847,1.161
39,Nov-16,237,0.73381295,10.56609466,0.973
40,Jan-17,238,0.410071942,1.537185665,0.651
41,Apr-17,242,0.54676259,6.689174045,0.567
42,Jun-17,248,0.633093525,6.5035047,0.545
43,Aug-17,256,0.54676259,11.37282762,0.428
44,Sep-17,265,0.697841727,9.89227008,0.53
