years,month,sinkholes,level,algas,Cirsium,Dasylirion,Distichlis,Erigeron,Eustoma,Flaveria,Haploestes,nada,Nerysirenia,Polygala,Prosopis,Sabatia,Samolus,Schoenus,Sesuvium,Sporobolus,Total general
2009,ene,1.1,27,,,,,,,1.57E-06,,,,,,,,,,,1.57E-06
2009,ene,1.101,0,,,,7.85E-07,,,,,,,,,,,,,,7.85E-07
2009,ene,1.101,(en blanco),,,,,,,0.00188496,,,,,,0.00282744,0.022544907,,,,0.027257307
2009,ene,1.11,2,,,,7.85E-07,,,,,,,,,,,,,,7.85E-07
2009,ene,1.12,2,,,,,,,,,,,,,,0.01429428,,,,0.01429428
2009,ene,1.13,6,,,,,,,7.85E-07,,,,,,,,,,,7.85E-07
2009,ene,1.13,(en blanco),,,,,,,0,,,,,,,,,,,0
2009,ene,1.14,0,,,,,,,7.85E-07,,,,,,,,,,,7.85E-07
2009,ene,1.14,(en blanco),,,,0,,,0.0113883,,,,,,,,,,,0.0113883
2009,ene,1.15,11,,,,7.85E-07,,,,,,,,,,,,,,7.85E-07
2009,ene,1.16,4,,,,,,,,,,,,,,,0.0102102,,,0.0102102
2009,ene,1.16,(en blanco),,,,0,,,,,,,,,,,0.00447678,,,0.00447678
2009,ene,1.17,16,,,,7.85E-07,,,,,,,,,,,,,,7.85E-07
2009,ene,1.18,17,,,,,,,,,0,,,,,,,,,0
2009,ene,1.19,0,,,,7.85E-07,,,,,,,,,,,,,,7.85E-07
2009,ene,1.19,(en blanco),,,,0.00243474,,,,,,,,,,,,,,0.00243474
2009,ene,1.2,13,,,,,,,7.85E-07,,,,,,,,,,,7.85E-07
2009,ene,1.2,(en blanco),,,,,,,,,,,,,,0.00031416,0.00133518,,,0.00164934
2009,ene,1.21,13,,,,,,,,,,,,,,,7.85E-07,,,7.85E-07
2009,ene,1.21,(en blanco),,,,,,,,,,,,,,0.00376992,,,,0.00376992
2009,ene,1.22,2,,,,,,,,,,,,,,0.0027489,,,,0.0027489
2009,ene,1.22,(en blanco),,,,,,,0,,,,,,,,0,,,0
2009,ene,1.23,0,,,,,,,0.02136288,,,,,,,,,,,0.02136288
2009,ene,1.23,(en blanco),,,,,,,,,,,,,,7.85E-07,,,,7.85E-07
2009,ene,1.24,0.1,,,,,,,,,,,,,,0.0015708,,,,0.0015708
2009,ene,1.24,(en blanco),,,,,,,,,,,,,0.00070686,5.50E-06,,,,0.000712358
2009,ene,1.25,0,,,,7.85E-07,,,,,,,,,,,,,,7.85E-07
2009,ene,1.25,(en blanco),,,,0.00047124,,,,,,,,,,,0.0106029,,,0.01107414
2009,ene,1.26,0,,,,,,,,,,,,,,,0.00015708,,,0.00015708
2009,ene,1.26,(en blanco),,,,,,,,,,,,,,,0.01107414,,,0.01107414
2009,ene,1.27,8,,,,7.85E-07,,,,,,,,,,,,,,7.85E-07
2009,ene,1.27,(en blanco),,,,,,,,,,,,,,0.0011781,0.00047124,,,0.00164934
2009,ene,1.28,5,,,,,,,,,,,,,,0.00816816,,,,0.00816816
2009,ene,1.28,(en blanco),,,,7.85E-07,,,0,,,,,,,0.00541926,0.0109956,,,0.016415645
2009,ene,1.29,0,,,,7.85E-07,,,,,,,,,,,,,,7.85E-07
2009,ene,1.31,0,,,,7.85E-07,,,,,,,,,,,,,,7.85E-07
2009,ene,1.31,(en blanco),,,,,,,,,,,,,,,0.00047124,,,0.00047124
2009,ene,1.32,0,,,,,,,,,,,,,,,0.00062832,,,0.00062832
2009,ene,1.32,(en blanco),,,,7.85E-07,,,,,,,,,,,0.000019635,,,2.04E-05
2009,ene,1.33,5,,,,7.85E-07,,,,,,,,,,,,,,7.85E-07
2009,ene,1.34,12,,,,7.85E-07,,,,,,,,,,,,,,7.85E-07
2009,ene,1.34,(en blanco),,,,,,,7.85E-07,,,,,,,0.003774632,,,,0.003775418
2009,ene,1.35,0,,,,7.85E-07,,,,,,,,,,,,,,7.85E-07
2009,ene,1.35,(en blanco),,,,,,,,,,,,,,0.000711572,0.000019635,,,0.000731207
2009,ene,1.36,0,,,,,,,,,,,,,,,0.0023562,,,0.0023562
2009,ene,1.36,(en blanco),,,,,,,,,,,,,,0.003149454,0.000019635,,,0.003169089
2009,ene,1.37,3,,,,,,,7.85E-07,,,,,,,,,,,7.85E-07
2009,ene,1.37,(en blanco),,,,,,,,,,,,,,2.36E-06,,,,2.36E-06
2009,ene,1.38,0,,,,,,,,,,,,,,,0.000019635,,,0.000019635
2009,ene,1.38,(en blanco),,,,,,,1.57E-06,,,,,,,0.003154166,0.00092363,,,0.004079368
2009,ene,1.39,0,,,,,,,0.007854,,,,,,,,,,,0.007854
