mes,abra,A/C/F,d1,d2,H,Perim elip,sup elip cm2,sup elip m2 (solo elipse),PROF,sup abra cm2 (elip+prof),sup m2 (elip+prof),Cat Tam,diag,NIVEL,C/agua,Cat Prof,Sp,# spp,Categoría Riq,c/s veg,Núm. Ind.,Plántulas,Fondo,Pared,Periferia,d1,d2,cob m2,cob cm2,,,,,,,,,,,,
01/01/2009,1.1,1,42,47,0.003156167,139.9112036,1550.376,0.155,54,9105.581,0.911,3,,27,1,3,Flaveria,1,1,1,2,2,,,1,0.1,0.1,1.5708E-06,0.015708,,,,,,,,,,,,
01/01/2009,1.1O,1,24,44,0.08650519,109.1369136,829.380,0.083,42,5413.131,0.541,2,,20,1,2,Samolus,1,1,1,7,4,,1,1,8,9,0.00565488,56.5488,,valor agregado 0.1,,,,,,,,,,
01/01/2009,1.1OO,1,55,27,0.116597264,132.5880821,1166.316,0.117,20,3818.078,0.382,3,,0,0,1,Samolus,2,2,1,3,1,1,,1,10,7,0.0054978,54.978,,,,,,,,,,,,
01/01/2009,1.1OO,,,,,,,,,,,,,,,,Distichlis,,,,,,1,,0,0.1,0.1,7.854E-07,0.007854,,,,,,,,,,,,
01/01/2009,1.1OO,,,,,,,,,,,,,,,,Samolus,,,,,10,1,,0,0.1,0.1,0.000007854,0.07854,,,,,,,,,,,,
01/01/2009,1.101,1,33,31,0.000976563,100.5555101,803.462,0.080,23,3116.239,0.312,2,,0,0,1,Distichlis,4,4,1,,,1,,1,0.1,0.1,7.854E-07,0.007854,,,,,,,,,,,,
01/01/2009,1.101,,,,,,,,,,,,,,,,Samolus,,,,5,,,,1,7,5,0.0027489,27.489,,,,,,,,,,,,
01/01/2009,1.101,,,,,,,,,,,,,,,,Samolus,,,,,,1,,0,8,17,0.01068144,106.8144,,,,,,,,,,,,
01/01/2009,1.101,,,,,,,,,,,,,,,,Samolus,,,,,,1,,0,7,5,0.0027489,27.489,,,,,,,,,,,,
01/01/2009,1.101,,,,,,,,,,,,,,,,Samolus,,,,,,1,,0,6,10,0.0047124,47.124,,,,,,,,,,,,
01/01/2009,1.101,,,,,,,,,,,,,,,,Samolus,,,,,,1,,0,3,3,0.00070686,7.0686,,,,,,,,,,,,
01/01/2009,1.101,,,,,,,,,,,,,,,,Samolus,,,,,,1,,0,3,4,0.00094248,9.4248,,,,,,,,,,,,
01/01/2009,1.101,,,,,,,,,,,,,,,,Sabatia,,,,1,,,1,0,6,6,0.00282744,28.2744,,,,,,,,,,,,
01/01/2009,1.101,,,,,,,,,,,,,,,,Flaveria,,,,1,,1,,0,6,4,0.00188496,18.8496,,,,,,,,,,,,
01/01/2009,1.101,,,,,,,,,,,,,,,,Samolus,,,,,5,1,1,0,0.1,0.1,0.000003927,0.03927,,,,,,,,,,,,
01/01/2009,1.11,1,47,38,0.011211073,133.8921699,1402.721,0.140,30,5419.486,0.542,3,,2,1,1,Distichlis,1,1,1,,,,,1,0.1,0.1,7.854E-07,0.007854,,,,,,,,,,,,
01/01/2009,1.12,1,31,24,0.016198347,86.7440128,584.336,0.058,22,2492.705,0.249,2,,2,1,1,Samolus,1,1,1,12,,,1,1,14,13,0.01429428,142.9428,,,,,,,,,,,,
01/01/2009,1.13,1,27,36,0.020408163,99.46571472,763.407,0.076,32,3946.310,0.395,2,,6,1,2,Flaveria,1,1,1,1,,,,1,0.1,0.1,7.854E-07,0.007854,,,,,,,,,,,,
01/01/2009,1.13,,,,,,,,,,,,,,,,Flaveria,,,,,1,1,,0,seco,seco,seco,seco,,,,,,,,,,,,
01/01/2009,1.14,1,45,49,0.001810774,147.7217047,1731.803,0.173,13,3652.185,0.365,3,,0,0,1,Flaveria,2,2,1,1,,1,,0,0.1,0.1,7.854E-07,0.007854,,,,,,,,,,,,
01/01/2009,1.14,,,,,,,,,,,,,,,,Flaveria,,,,,,1,,0,10,6,0.0047124,47.124,,,,,,,,,,,,
01/01/2009,1.14,,,,,,,,,,,,,,,,Flaveria,,,,,,1,,0,7,12,0.00659736,65.9736,,,,,,,,,,,,
01/01/2009,1.14,,,,,,,,,,,,,,,,Distichlis,,,,,,1,,1,seco,seco,seco,seco,,,,,,,,,,,,
01/01/2009,1.14,,,,,,,,,,,,,,,,Flaveria,,,,2,,,1,0,1,1,0.00007854,0.7854,,,,,,,,,,,,
01/01/2009,1.15,1,16,13,0.010701546,45.67504734,163.363,0.016,33,1670.639,0.167,1,,11,1,2,Distichlis,1,1,1,1,,,,1,0.1,0.1,7.854E-07,0.007854,,,,,,,,,,,,
01/01/2009,1.16,1,43,30,0.031713267,115.5790736,1013.164,0.101,22,3555.903,0.356,2,,4,1,1,Schoenus,2,2,1,3,,1,1,0,10,13,0.0102102,102.102,,,,,,,,,,,,
01/01/2009,1.16,,,,,,,,,,,,,,,,Schoenus,,,,,,1,1,0,3,5,0.0011781,11.781,,,,,,,,,,,,
01/01/2009,1.16,,,,,,,,,,,,,,,,Schoenus,,,,,,1,1,0,6,3,0.00141372,14.1372,,,,,,,,,,,,
01/01/2009,1.16,,,,,,,,,,,,,,,,Schoenus,,,,,,1,1,0,2,4,0.00062832,6.2832,,,,,,,,,,,,
01/01/2009,1.16,,,,,,,,,,,,,,,,Schoenus,,,,,,1,1,0,4,3,0.00094248,9.4248,,,,,,,,,,,,
01/01/2009,1.16,,,,,,,,,,,,,,,,Schoenus,,,,,,1,1,0,2,2,0.00031416,3.1416,,,,,,,,,,,,
01/01/2009,1.16,,,,,,,,,,,,,,,,Distichlis,,,,,,,,1,seco,seco,seco,seco,,,,,,,,,,,,
01/01/2009,1.17,1,39,27,0.033057851,104.5311406,827.024,0.083,39,4903.739,0.490,2,,16,1,2,Distichlis,1,1,1,,,1,,1,0.1,0.1,7.854E-07,0.007854,,,,,,,,,,,,
01/01/2009,1.18,1,18,23,0.0148721,64.64232346,325.155,0.033,42,3040.132,0.304,1,,17,1,2,nada,0,0,0,nada,nada,nada,nada,nada,nada,nada,0,0,,,,,,,,,,,,
01/01/2009,1.19,1,44,46,0.000493827,141.3891232,1589.646,0.159,25,5124.374,0.512,3,,0,0,1,Distichlis,1,1,1,,,1,,1,0.1,0.1,7.854E-07,0.007854,,,,,,,,,,,,
